malt	824	4.152	176	7.602
ilea	784	4.156	216	8.069
lept	874	4.157	126	7.635
port	849	4.16	151	7.669
rent	847	4.17	153	7.673
rots	837	4.171	163	7.81
deal	826	4.173	174	7.73
eras	811	4.178	189	8.106
rune	811	4.178	189	7.767
slam	841	4.178	159	7.811
rapt	881	4.178	119	7.521
lops	827	4.181	173	7.792
tale	843	4.183	157	7.854
beds	845	4.183	155	7.852
sloe	835	4.188	165	7.782
rues	789	4.191	211	7.986
meat	844	4.194	156	7.712
deli	850	4.195	150	7.793
slat	853	4.196	147	7.626
lost	828	4.197	172	7.791
slum	834	4.197	166	7.639
rope	820	4.198	180	7.8
sure	824	4.198	176	7.699
alto	805	4.199	195	7.821
oral	825	4.199	175	7.846
true	821	4.2	179	7.832
mats	863	4.2	137	7.876
arts	826	4.201	174	7.724
earn	826	4.201	174	7.868
tins	847	4.201	153	7.732
spot	851	4.201	149	7.638
leas	827	4.203	173	8.035
rant	843	4.204	157	7.732
pile	853	4.205	147	7.81
peat	843	4.206	157	7.834
omen	824	4.209	176	7.864
repo	824	4.21	176	7.926
airs	809	4.211	191	7.963
ones	818	4.211	182	7.879
seta	824	4.212	176	7.807
part	865	4.212	135	7.763
yare	811	4.213	189	7.82
lips	855	4.213	145	7.676
sole	816	4.214	184	7.783
span	849	4.214	151	7.755
tend	871	4.214	129	7.729
slaw	838	4.215	162	7.685
taus	811	4.216	189	7.947
nope	813	4.216	187	7.701
draw	837	4.216	163	7.632
band	862	4.216	138	7.659
kaon	809	4.218	191	7.827
mile	838	4.218	162	7.951
aper	849	4.218	151	7.656
sort	850	4.218	150	7.86
name	821	4.219	179	7.777
mars	848	4.219	152	8.02
pert	852	4.219	148	7.777
tars	853	4.219	147	7.707
rest	858	4.219	142	7.606
lest	862	4.219	138	7.667
dole	830	4.22	170	7.8
darn	855	4.22	145	7.752
rute	805	4.221	195	7.774
ante	818	4.221	182	7.918
neat	829	4.221	171	7.86
lute	823	4.222	177	7.734
lets	842	4.222	158	7.88
lint	860	4.222	140	7.771
derm	861	4.222	139	7.655
plan	873	4.222	127	7.701
terp	873	4.222	127	7.614
earl	815	4.223	185	7.962
yelp	869	4.223	131	7.656
mils	829	4.224	171	7.836
bets	849	4.224	151	7.728
real	831	4.225	169	7.799
raid	841	4.225	159	7.774
ares	787	4.226	213	7.93
fled	861	4.226	139	7.604
pats	843	4.227	157	7.822
ores	793	4.228	207	7.923
blot	842	4.228	158	7.772
poet	845	4.228	155	7.677
lord	854	4.228	146	7.808
ynal	861	4.228	139	7.827
heal	843	4.229	157	7.892
norm	849	4.229	151	7.662
tile	844	4.23	156	7.603
silt	864	4.23	136	7.618
gels	844	4.231	156	7.795
diet	829	4.232	171	7.836
meal	838	4.232	162	8.056
perk	856	4.232	144	7.667
flat	863	4.232	137	7.752
blat	865	4.232	135	7.674
iron	816	4.233	184	7.701
anus	817	4.233	183	8.005
plot	872	4.234	128	7.594
eros	820	4.235	180	7.839
rain	826	4.235	174	7.983
lone	829	4.235	171	7.749
past	860	4.235	140	7.736
taco	823	4.236	177	7.768
rile	828	4.236	172	7.82
pros	842	4.236	158	7.778
coat	809	4.237	191	7.665
dies	820	4.237	180	7.894
lean	831	4.237	169	7.852
laps	834	4.237	166	7.765
hers	835	4.237	165	7.764
opts	841	4.237	159	7.849
etas	785	4.238	215	7.819
rose	789	4.238	211	7.829
loan	804	4.238	196	7.765
teal	825	4.238	175	7.794
rise	835	4.238	165	7.891
bred	846	4.238	154	7.623
amyl	853	4.238	147	7.755
rasp	856	4.238	144	7.639
meld	870	4.238	130	7.585
hone	808	4.239	192	7.745
enol	836	4.239	164	7.701
snit	842	4.239	158	7.753
paid	852	4.239	148	7.709
bolt	859	4.239	141	7.553
noel	811	4.24	189	8.069
wear	824	4.24	176	7.739
maid	832	4.24	168	7.744
lear	816	4.241	184	7.799
rods	829	4.241	171	7.708
lard	855	4.241	145	7.738
sear	830	4.242	170	7.712
slip	839	4.242	161	7.77
role	804	4.243	196	7.847
rime	814	4.243	186	7.715
hail	830	4.243	170	7.794
yore	816	4.244	184	7.859
lead	818	4.244	182	7.808
told	851	4.244	149	7.691
redo	805	4.245	195	7.692
glob	850	4.245	150	7.66
sone	798	4.246	202	7.842
drub	852	4.246	148	7.75
bits	853	4.246	147	7.721
clap	870	4.246	130	7.538
weld	873	4.246	127	7.803
wont	825	4.247	175	7.651
germ	858	4.247	142	7.697
salt	862	4.247	138	7.862
list	872	4.247	128	7.586
year	804	4.248	196	7.827
rice	818	4.248	182	7.857
sine	823	4.248	177	7.814
tire	824	4.248	176	7.903
rate	831	4.248	169	7.876
sera	832	4.248	168	7.905
reap	847	4.248	153	7.752
pact	850	4.248	150	7.667
mobs	851	4.248	149	7.644
plod	867	4.248	133	7.744
lier	827	4.249	173	7.815
sect	830	4.249	170	7.753
tron	839	4.249	161	7.807
read	841	4.249	159	7.799
lady	846	4.249	154	7.727
torn	858	4.249	142	7.725
sale	828	4.25	172	7.721
rude	829	4.25	171	7.76
tarn	843	4.25	157	7.675
clot	851	4.25	149	7.523
lewd	872	4.25	128	7.695
ours	800	4.251	200	7.8
robs	829	4.251	171	7.655
pens	845	4.251	155	7.761
pots	846	4.251	154	7.812
celt	849	4.251	151	7.695
nerd	861	4.251	139	7.77
rhos	865	4.251	135	7.822
oats	798	4.252	202	7.782
sail	810	4.252	190	8.021
tens	817	4.252	183	7.902
acre	821	4.252	179	7.855
note	826	4.252	174	7.845
dare	834	4.252	166	7.813
dons	845	4.252	155	7.8
pint	849	4.252	151	7.821
tear	800	4.253	200	7.83
pure	829	4.253	171	7.731
cost	833	4.253	167	7.707
rash	841	4.253	159	7.748
rely	841	4.253	159	7.818
pans	843	4.253	157	7.943
slot	855	4.253	145	7.807
molt	862	4.253	138	7.681
yeld	865	4.253	135	7.726
item	866	4.253	134	7.828
goer	815	4.254	185	7.616
shoe	816	4.254	184	7.668
lite	838	4.254	162	7.796
wets	841	4.254	159	7.736
tans	847	4.254	153	7.797
opal	848	4.254	152	7.822
lust	851	4.254	149	7.899
haps	852	4.254	148	7.764
mart	871	4.254	129	7.698
toad	821	4.255	179	7.665
lied	835	4.255	165	7.812
runt	842	4.255	158	7.728
slit	846	4.255	154	7.734
last	843	4.256	157	7.803
lame	848	4.256	152	7.908
lane	802	4.257	198	7.889
lain	803	4.257	197	7.904
yews	826	4.257	174	7.787
bats	843	4.257	157	7.701
smut	867	4.257	133	7.669
dues	801	4.258	199	7.92
naut	821	4.258	179	7.793
wons	829	4.258	171	7.871
park	858	4.258	142	7.887
belt	859	4.258	141	7.603
tips	867	4.258	133	7.647
ires	812	4.259	188	7.835
dose	816	4.259	184	7.891
peon	837	4.259	163	7.693
fats	839	4.259	161	7.758
curd	842	4.259	158	7.759
leap	849	4.259	151	7.954
hump	858	4.259	142	7.634
spun	813	4.26	187	7.77
nils	814	4.26	186	7.919
lime	828	4.26	172	7.872
rack	831	4.26	169	7.675
puts	839	4.26	161	7.851
nets	841	4.26	159	7.881
upon	842	4.26	158	7.886
hoer	809	4.261	191	7.796
seat	812	4.261	188	7.707
beta	820	4.261	180	7.789
ties	824	4.261	176	7.92
lari	825	4.261	175	7.754
cant	849	4.261	151	7.841
spit	857	4.261	143	7.51
hero	829	4.262	171	7.801
fret	855	4.262	145	7.669
palm	862	4.262	138	7.659
prod	864	4.262	136	7.64
ream	815	4.263	185	7.968
mare	829	4.263	171	7.918
nays	834	4.263	166	7.759
dors	840	4.263	160	7.938
limn	849	4.263	151	7.695
snap	853	4.263	147	7.755
damn	856	4.263	144	7.889
tarp	859	4.263	141	7.752
toed	825	4.264	175	7.829
hems	838	4.264	162	7.784
math	845	4.264	155	7.606
film	857	4.264	143	7.748
flip	864	4.264	136	7.787
knit	866	4.264	134	7.694
pace	829	4.265	171	7.901
pies	830	4.265	170	7.912
stun	838	4.265	162	7.802
orca	821	4.266	179	7.676
ergo	822	4.266	178	7.781
dope	853	4.266	147	7.762
legs	856	4.266	144	7.875
bled	861	4.266	139	7.597
lien	817	4.267	183	7.842
page	819	4.267	181	7.713
done	821	4.267	179	7.939
dote	828	4.267	172	7.791
mode	828	4.267	172	7.738
pail	832	4.267	168	7.81
tome	833	4.267	167	7.719
tern	842	4.267	158	7.677
turn	843	4.267	157	7.745
hasp	862	4.267	138	7.587
snot	863	4.267	137	7.745
keys	809	4.268	191	7.984
dean	832	4.268	168	7.875
tare	835	4.268	165	7.806
pars	846	4.268	154	7.727
hint	850	4.268	150	7.773
moat	850	4.268	150	7.727
leak	806	4.269	194	8.026
gins	825	4.269	175	7.891
heat	828	4.269	172	7.727
demo	829	4.269	171	7.749
glut	839	4.269	161	7.752
mold	858	4.269	142	7.789
soar	818	4.27	182	7.841
mite	821	4.27	179	7.615
roan	822	4.27	178	7.989
core	825	4.27	175	7.76
rust	832	4.27	168	7.798
this	837	4.27	163	7.785
tyro	840	4.27	160	7.581
slew	855	4.27	145	7.662
held	868	4.27	132	7.538
heir	813	4.271	187	7.834
cats	835	4.271	165	7.867
talk	837	4.271	163	7.798
naps	838	4.271	162	7.944
taro	844	4.271	156	7.769
typo	848	4.271	152	7.638
nest	856	4.271	144	7.951
vile	801	4.272	199	7.854
pour	812	4.272	188	7.67
wins	812	4.272	188	7.814
said	813	4.272	187	7.749
care	838	4.272	162	7.741
send	847	4.272	153	7.771
brat	850	4.272	150	7.813
melt	868	4.272	132	7.644
ukes	785	4.273	215	7.86
lore	794	4.273	206	7.617
seal	801	4.273	199	7.849
cute	806	4.273	194	7.809
rule	825	4.273	175	7.869
lire	830	4.273	170	7.824
tape	831	4.273	169	7.781
rami	838	4.273	162	7.901
mist	845	4.273	155	7.813
newt	868	4.273	132	7.742
foil	796	4.274	204	7.794
node	815	4.274	185	7.897
pate	824	4.274	176	7.631
clan	825	4.274	175	7.709
herd	828	4.274	172	7.616
tier	837	4.274	163	7.828
alef	838	4.274	162	7.728
dial	839	4.274	161	7.77
time	855	4.274	145	7.793
fort	860	4.274	140	7.529
toga	810	4.275	190	7.747
lira	832	4.275	168	7.839
posh	832	4.275	168	7.738
bens	848	4.275	152	7.77
duel	850	4.275	150	8.02
plus	852	4.275	148	7.878
them	853	4.275	147	7.626
wept	857	4.275	143	7.664
thru	858	4.275	142	7.662
colt	869	4.275	131	7.702
rout	807	4.276	193	7.751
mean	819	4.276	181	7.773
gate	834	4.276	166	7.765
yard	843	4.276	157	7.656
mate	844	4.276	156	7.814
emir	858	4.276	142	7.923
drip	865	4.276	135	7.756
suet	804	4.277	196	7.75
airy	808	4.277	192	7.797
leaf	823	4.277	177	7.881
slay	835	4.277	165	7.836
fold	837	4.277	163	7.681
rats	839	4.277	161	7.714
walk	852	4.277	148	7.723
tops	870	4.277	130	7.669
ales	806	4.278	194	7.84
amen	832	4.278	168	7.786
sate	834	4.278	166	7.801
ward	834	4.278	166	7.711
awns	838	4.278	162	7.654
lope	848	4.278	152	7.743
dent	854	4.278	146	7.767
lump	854	4.278	146	7.637
dabs	836	4.279	164	7.878
seam	838	4.279	162	7.821
rape	843	4.279	157	7.752
cart	847	4.279	153	7.686
taps	857	4.279	143	7.916
gold	858	4.279	142	7.57
rand	858	4.279	142	7.873
soil	806	4.28	194	7.773
bole	833	4.28	167	7.802
gone	833	4.28	167	7.886
pear	838	4.28	162	7.846
lids	844	4.28	156	7.974
marl	854	4.28	146	7.801
drib	861	4.28	139	7.626
drop	861	4.28	139	7.612
